,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release_Date,MPAA Rating,Running Time (min),Distributor,Source,Type,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
19,12 Angry Men,0,0,NA,340000,13-Apr-57,NA,NA,United Artists,Original Screenplay,Drama,NA,Sidney Lumet,NA,8.9,119101
20,Twelve Monkeys,57141459,168841459,NA,29000000,27-Dec-95,R,NA,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,NA,8.1,169858
21,1776,0,0,NA,4000000,9-Nov-72,PG,NA,Sony/Columbia,Based on Play,Drama,Historical Fiction,NA,57,7,4099
22,1941,34175000,94875000,NA,32000000,14-Dec-79,NA,NA,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33,5.6,13364
23,Chacun sa nuit,18435,18435,NA,1900000,29-Jun-07,Not Rated,NA,Strand,Original Screenplay,Thriller/Suspense,NA,NA,NA,6.3,365
24,2001: A Space Odyssey,56700000,68700000,NA,10500000,2-Apr-68,NA,NA,NA,Original Screenplay,NA,Science Fiction,Stanley Kubrick,96,8.4,160342
25,"20,000 Leagues Under the Sea",28200000,28200000,NA,5000000,23-Dec-54,NA,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,NA,Richard Fleischer,92,NA,NA
26,"20,000 Leagues Under the Se",8000000,8000000,NA,200000,24-Dec-16,NA,NA,NA,Based on Book/Short Story,Adventure,NA,NA,NA,NA,NA
27,24 7: Twenty Four Seven,72544,72544,NA,2000000,15-Apr-98,R,NA,October Films,Original Screenplay,Comedy,NA,Shane Meadows,NA,6.9,1417
28,Twin Falls Idaho,985341,1027228,NA,500000,30-Jul-99,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77,7.1,2810
29,Three Kingdoms: Resurrection of the Dragon,0,22139590,NA,20000000,3-Apr-08,R,NA,NA,Based on Book/Short Story,Action,Historical Fiction,NA,NA,NA,NA
30,3 Men and a Baby,167780960,167780960,NA,15000000,25-Nov-87,NA,NA,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,NA,5.7,16764
31,3 Ninjas Kick Back,11744960,11744960,NA,20000000,6-May-94,PG,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,NA,17,3.2,3107
32,Forty Shades of Blue,75828,172569,NA,1500000,28-Sep-05,R,NA,Vitagraph Films,Original Screenplay,Drama,NA,NA,NA,6,873
33,42nd Street,2300000,2300000,NA,439000,9-Mar-33,NA,NA,Warner Bros.,Based on Book/Short Story,Musical,NA,NA,95,7.7,4263
34,Four Rooms,4301000,4301000,NA,4000000,25-Dec-95,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14,6.4,34328
35,The Four Seasons,42488161,42488161,NA,6500000,22-May-81,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71,7,1814
36,Four Weddings and a Funeral,52700832,242895809,NA,4500000,9-Mar-94,R,NA,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96,7.1,39003
37,51 Birch Street,84689,84689,NA,350000,18-Oct-06,Not Rated,NA,Truly Indie,NA,NA,NA,NA,97,7.4,439
38,55 Days at Peking,10000000,10000000,NA,17000000,1963,NA,NA,NA,Original Screenplay,Drama,NA,NA,57,6.8,2104
39,Nine 1/2 Weeks,6734844,6734844,NA,18000000,21-Feb-86,NA,NA,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Adrian Lyne,NA,5.4,12731
40,Ast_rix aux Jeux Olympiques,999811,132999811,NA,113500000,4-Jul-08,Not Rated,NA,Alliance,Based on Comic/Graphic Novel,Adventure,Fantasy,NA,NA,4.9,5620
41,The Abyss,54243125,54243125,NA,70000000,9-Aug-89,PG-13,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,88,7.6,51018
42,Action Jackson,20257000,20257000,NA,7000000,12-Feb-88,NA,NA,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,NA,10,4.6,3856
43,Ace Ventura: Pet Detective,72217396,107217396,NA,12000000,4-Feb-94,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49,6.6,63543
44,Ace Ventura: When Nature Calls,108360063,212400000,NA,30000000,10-Nov-95,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,NA,5.6,51275
45,April Fool's Day,12947763,12947763,NA,5000000,27-Mar-86,NA,NA,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,NA,31,NA,NA
46,Among Giants,64359,64359,NA,4000000,26-Mar-99,R,NA,Fox Searchlight,Original Screenplay,Romantic Comedy,NA,NA,NA,5.7,546
47,Annie Get Your Gun,8000000,8000000,NA,3768785,17-May-50,NA,NA,MGM,Based on Book/Short Story,Musical,NA,NA,100,7.1,1326
48,Alice in Wonderland,0,0,NA,3000000,28-Jul-51,NA,NA,RKO Radio Pictures,Based on Book/Short Story,Musical,NA,NA,20,6.7,63458
49,The Princess and the Cobbler,669276,669276,NA,24000000,25-Aug-95,G,NA,Miramax,Original Screenplay,Adventure,Fantasy,NA,NA,7.3,893
50,The Alamo,7900000,7900000,NA,12000000,24-Oct-60,PG-13,NA,United Artists,Original Screenplay,Western,Historical Fiction,John Wayne,54,5.9,10063
51,Alexander's Ragtime Band,4000000,4000000,NA,2000000,1938,NA,NA,20th Century Fox,Original Screenplay,Drama,NA,NA,NA,NA,NA
52,Alive,36299670,36299670,NA,32000000,15-Jan-93,R,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71,3.2,124
53,Amen,274299,274299,NA,14000000,24-Jan-03,Not Rated,NA,Kino International,Based on Play,Drama,NA,Costa-Gavras,NA,7.4,5416
54,American Graffiti,115000000,140000000,NA,777000,11-Aug-73,NA,NA,Universal,Original Screenplay,Comedy,NA,George Lucas,97,7.6,30952
55,American Ninja 2: The Confrontation,4000000,4000000,NA,350000,1987,NA,NA,NA,Original Screenplay,Action,NA,Sam Firstenberg,NA,3.7,2495
56,The American President,60022813,107822813,NA,62000000,17-Nov-95,PG-13,NA,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,90,6.8,22780
57,Annie Hall,38251425,38251425,NA,4000000,20-Apr-77,NA,NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,98,8.2,65406
58,Anatomie,9598,9598,NA,2500000,8-Sep-00,Not Rated,NA,Sony Pictures,Original Screenplay,Horror,NA,NA,NA,6.1,6266
59,The Adventures of Huck Finn,24103594,24103594,NA,6500000,2-Apr-93,PG,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,62,5.8,3095
60,The Apartment,18600000,24600000,NA,3000000,1960,NA,NA,United Artists,Original Screenplay,Romantic Comedy,NA,Billy Wilder,91,8.4,36485
61,Apocalypse Now,78800000,78800000,3479242,31500000,15-Aug-79,R,NA,MGM,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98,8.6,173141
62,Arachnophobia,53208180,53208180,NA,31000000,18-Jul-90,NA,NA,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Frank Marshall,85,6.2,20528
63,Arn - Tempelriddaren,0,14900000,NA,16500000,25-Dec-07,R,NA,NA,Based on Book/Short Story,Action,Historical Fiction,NA,NA,6.4,6251
64,Arnolds Park,23616,23616,NA,600000,19-Oct-07,PG-13,NA,The Movie Partners,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,5.1,77
65,Sweet Sweetback's Baad Asssss Song,15200000,15200000,NA,150000,1-Jan-71,NA,NA,NA,NA,NA,NA,NA,NA,5.6,1769
66,And Then Came Love,8158,8158,NA,989000,1-Jun-07,Not Rated,NA,Fox Meadow,NA,Comedy,NA,NA,17,4.4,200
67,Around the World in 80 Days,42000000,42000000,NA,6000000,17-Oct-56,PG,NA,United Artists,Based on Book/Short Story,Adventure,NA,NA,73,5.6,21516
68,Barbarella,0,0,NA,9000000,10-Oct-68,NA,NA,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,NA,74,5.7,10794
69,Barry Lyndon,20000000,20000000,NA,11000000,1975,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,NA,Stanley Kubrick,94,8.1,39909
70,"Barbarians, The",800000,800000,NA,4000000,"March, 1987",NA,NA,NA,NA,NA,NA,NA,NA,5.4,236
71,Babe,63658910,246100000,NA,30000000,4-Aug-95,G,NA,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98,7.3,35644
72,Boynton Beach Club,3127472,3127472,NA,2900000,24-Mar-06,R,104,Wingate Distribution,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,NA,NA,NA
73,Baby's Day Out,16581575,16581575,NA,50000000,1-Jul-94,PG,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Patrick Read Johnson,21,5,8332
74,Bound by Honor,4496583,4496583,NA,35000000,16-Apr-93,NA,NA,Walt Disney Pictures,Original Screenplay,NA,NA,Taylor Hackford,NA,7.7,10142
75,"Bon Cop, Bad Cop",12671300,12671300,NA,8000000,4-Aug-06,Not Rated,NA,Alliance,Original Screenplay,Comedy,Contemporary Fiction,NA,67,6.9,151
76,Back to the Future,210609762,381109762,NA,19000000,3-Jul-85,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96,8.4,201598
77,Back to the Future Part II,118450002,332000000,NA,40000000,22-Nov-89,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,64,7.5,87341
78,Back to the Future Part III,87666629,243700000,NA,40000000,24-May-90,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,71,7.1,77541
79,Butch Cassidy and the Sundance Kid,102308900,102308900,NA,6000000,24-Oct-69,NA,NA,20th Century Fox,NA,Western,Historical Fiction,George Roy Hill,90,8.2,57602
80,Bad Boys,65647413,141247413,NA,23000000,7-Apr-95,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,39,6.6,53929
81,Body Double,8801940,8801940,NA,10000000,26-Oct-84,NA,NA,Sony/Columbia,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,84,6.4,9738
82,"The Beast from 20,000 Fathoms",5000000,5000000,NA,210000,13-Jun-53,NA,NA,Warner Bros.,Based on Book/Short Story,NA,NA,NA,90,NA,NA
83,Beastmaster 2: Through the Portal of Time,773490,773490,NA,6000000,30-Aug-91,NA,NA,New Line,Based on Book/Short Story,NA,Fantasy,NA,17,3.3,1327
84,The Beastmaster,10751126,10751126,NA,5000000,20-Aug-82,NA,NA,MGM,Based on Book/Short Story,Action,Fantasy,NA,50,5.7,5734
85,Ben-Hur,9000000,9000000,NA,3900000,30-Dec-25,NA,NA,MGM,Based on Book/Short Story,Adventure,NA,NA,NA,8.2,58510
86,Ben-Hurd,73000000,73000000,NA,15000000,18-Nov-59,NA,NA,MGM,Based on Book/Short Story,Adventure,NA,William Wyler,91,8.2,58510
87,Benji,31559560,31559560,NA,500000,15-Nov-74,NA,NA,NA,Original Screenplay,Adventure,NA,NA,83,5.8,1801
88,Before Sunrise,5274005,5274005,NA,2500000,27-Jan-95,R,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,100,8,39705
89,Beauty and the Beast,171340294,403476931,NA,20000000,13-Nov-91,G,NA,Walt Disney Pictures,Based on Book/Short Story,Musical,Fantasy,Gary Trousdale,93,3.4,354
90,The Best Years of Our Lives,23600000,23600000,NA,2100000,21-Nov-46,NA,NA,RKO Radio Pictures,Based on Book/Short Story,Drama,NA,William Wyler,97,8.2,17338
91,The Ballad of Gregorio Cortez,909000,909000,NA,1305000,19-Aug-83,NA,NA,Embassy,Based on Book/Short Story,Western,Historical Fiction,NA,NA,NA,NA
92,My Big Fat Independent Movie,4655,4655,NA,3000000,30-Sep-05,R,NA,Big Fat Movies,NA,Comedy,Contemporary Fiction,NA,23,3.2,1119
93,Battle for the Planet of the Apes,8800000,8800000,NA,1800000,1973,NA,NA,20th Century Fox,NA,NA,Science Fiction,Jack Lee Thompson,38,5,6094
94,Big Things,0,0,NA,50000,31-Dec-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,Bogus,4357406,4357406,NA,32000000,6-Sep-96,PG,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Norman Jewison,40,4.8,2742
96,Beverly Hills Cop,234760478,316300000,NA,15000000,5-Dec-84,NA,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83,7.3,45065
97,Beverly Hills Cop II,153665036,276665036,NA,20000000,20-May-87,R,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46,6.1,29712
98,Beverly Hills Cop III,42586861,119180938,NA,50000000,25-May-94,R,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Landis,10,5,21199
99,The Black Hole,35841901,35841901,NA,20000000,21-Dec-79,NA,NA,Walt Disney Pictures,Original Screenplay,NA,Science Fiction,NA,42,5.6,7810
100,Bathory,0,3436763,NA,15000000,10-Jul-08,NA,NA,NA,NA,NA,NA,NA,NA,6.1,1446
101,Big,114968774,151668774,NA,18000000,3-Jun-88,NA,NA,20th Century Fox,Original Screenplay,Comedy,Fantasy,Penny Marshall,96,7.2,49256
102,The Big Parade,11000000,22000000,NA,245000,1-Jan-25,NA,NA,MGM,Based on Play,Drama,NA,King Vidor,100,8.4,2600
103,Boyz n the Hood,56190094,56190094,NA,6500000,12-Jul-91,NA,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,98,7.8,30299
104,"The Book of Mormon Movie, Volume 1: The Journey",1660865,1660865,NA,2000000,12-Sep-03,PG,NA,Distributor Unknown,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,NA,NA
105,Return to the Blue Lagoon,2000000,2000000,NA,11000000,1991,NA,NA,NA,NA,NA,NA,NA,NA,4.3,4632
106,"Bright Lights, Big City",16118077,16118077,NA,25000000,1-Apr-88,R,NA,United Artists,Based on Book/Short Story,Drama,Contemporary Fiction,NA,61,6.8,11929
107,The Blue Bird,887000,887000,NA,1200000,1976,NA,NA,20th Century Fox,Based on Play,NA,Fantasy,George Cukor,NA,4.9,359
108,The Blue Butterfly,1610194,1610194,NA,10400000,20-Feb-04,PG,NA,Alliance,Original Screenplay,Drama,Contemporary Fiction,NA,44,6.2,817
109,Blade Runner,32656328,33139618,NA,28000000,25-Jun-82,R,NA,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92,8.3,185546
110,Bloodsport,11806119,11806119,NA,1500000,26-Feb-88,NA,NA,Cannon,Original Screenplay,Action,Contemporary Fiction,NA,NA,6.2,19816
111,The Blues Brothers,57229890,57229890,NA,27000000,20-Jun-80,NA,NA,Universal,Original Screenplay,Musical,Contemporary Fiction,John Landis,84,7.9,62941
112,Blow Out,13747234,13747234,NA,18000000,24-Jul-81,NA,NA,Filmways Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,89,7.1,10239
113,De battre mon coeur s'est arr_t_,1023424,8589831,NA,5500000,1-Jul-05,Not Rated,NA,WellSpring,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.3,7295
114,The Broadway Melody,2800000,4358000,NA,379000,1929,NA,NA,MGM,Original Screenplay,Musical,NA,NA,38,6.7,2017
115,Boom Town,9172000,9172000,NA,2000000,1940,NA,NA,MGM,Original Screenplay,NA,NA,NA,NA,7.1,1115
116,Bound,3802260,6300000,NA,4500000,4-Oct-96,R,NA,Gramercy,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Andy Wachowski,88,7.4,23564
117,Bang,527,527,NA,10000,1-Apr-96,NA,NA,JeTi Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,"Jeff ""King Jeff"" Hollins",NA,6.3,369
118,Bill & Ted's Bogus Journey,37537675,37537675,NA,20000000,19-Jul-91,NA,NA,Orion Pictures,Original Screenplay,Comedy,Fantasy,Peter Hewitt,58,5.8,20188
119,The Birth of a Nation,10000000,11000000,NA,110000,8-Feb-15,NA,NA,NA,Based on Book/Short Story,Drama,NA,NA,100,7.1,8901
120,The Ballad of Cable Hogue,3500000,5000000,NA,3716946,13-May-70,NA,NA,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,92,7.3,3125
121,The Blood of Heroes,882290,882290,NA,7700000,23-Feb-90,NA,NA,New Line,Original Screenplay,Action,NA,NA,NA,6.2,2523
122,Boomerang,70052444,131052444,NA,42000000,1-Jul-92,NA,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,37,5.9,202
123,The Bridge on the River Kwai,33300000,33300000,NA,3000000,18-Dec-57,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,NA,David Lean,95,8.4,58641
124,Born on the Fourth of July,70001698,70001698,NA,14000000,20-Dec-89,NA,NA,Universal,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,89,7.2,32108
125,Basquiat,2962051,2962051,NA,3000000,9-Aug-96,R,NA,Miramax,Based on Real Life Events,Drama,Dramatization,Julian Schnabel,69,6.7,7935
126,Black Rain,45892212,45892212,NA,30000000,22-Sep-89,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Ridley Scott,57,4.1,137
127,Bottle Rocket,407488,407488,NA,5000000,21-Feb-96,R,NA,Sony Pictures,Based on Short Film,Adventure,NA,Wes Anderson,79,7.2,21980
128,Braindead,242623,242623,NA,3000000,12-Feb-93,NA,NA,Trimark,Original Screenplay,Horror,NA,Peter Jackson,NA,7.6,32827
129,The Bridges of Madison County,71516617,175516617,NA,22000000,2-Jun-95,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,90,7.2,21923
130,The Brothers McMullen,10426506,10426506,NA,25000,9-Aug-95,R,NA,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Edward Burns,91,6.4,4365
131,Dracula,82522790,215862692,NA,40000000,13-Nov-92,R,NA,Sony Pictures,Based on Book/Short Story,Horror,Fantasy,Francis Ford Coppola,NA,6.4,136
132,Broken Arrow,70645997,148345997,NA,65000000,9-Feb-96,R,108,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,55,5.8,33584
133,Brainstorm,8921050,8921050,NA,15000000,30-Sep-83,NA,NA,MGM,Based on Book/Short Story,Thriller/Suspense,Science Fiction,NA,64,6.3,4410
134,Braveheart,75545647,209000000,NA,72000000,24-May-95,R,NA,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Mel Gibson,77,8.4,240642
135,Brazil,9929135,9929135,NA,15000000,18-Dec-85,R,136,Universal,Original Screenplay,Black Comedy,Fantasy,Terry Gilliam,98,8,76635
136,Blazing Saddles,119500000,119500000,NA,2600000,1-Jan-74,NA,NA,Warner Bros.,Original Screenplay,Comedy,NA,Mel Brooks,89,7.8,45771
137,The Basket,609042,609042,NA,1300000,5-May-00,PG,NA,MGM,Original Screenplay,Drama,NA,NA,NA,6.3,343
138,Bathing Beauty,3500000,3500000,NA,2361000,1944,NA,NA,MGM,Original Screenplay,Musical,NA,NA,NA,6.2,487
139,Bill & Ted's Excellent Adventure,39916091,39916091,NA,10000000,17-Feb-89,NA,NA,Orion Pictures,Original Screenplay,Comedy,Science Fiction,Stephen Herek,81,6.7,30341
140,A Bridge Too Far,50800000,50800000,NA,26000000,15-Jun-77,NA,NA,MGM,Based on Book/Short Story,Action,NA,Sir Richard Attenborough,67,7.3,16882
141,Beetle Juice,73326666,73326666,NA,15000000,30-Mar-88,NA,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Tim Burton,NA,7.3,61197
142,Batman Returns,162831698,266822354,NA,80000000,18-Jun-92,PG-13,NA,Warner Bros.,Original Screenplay,Action,Super Hero,Tim Burton,78,6.9,78673
143,Batman Forever,184031112,336529144,NA,100000000,16-Jun-95,PG-13,NA,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,43,5.4,76218
144,Batman,251188924,411348924,NA,35000000,23-Jun-89,PG-13,NA,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Tim Burton,71,7.6,111464
145,Buffy the Vampire Slayer,14231669,14231669,NA,7000000,31-Jul-92,NA,NA,20th Century Fox,Original Screenplay,Horror,Fantasy,NA,32,5.3,16056
146,Bienvenue chez les Ch'tis,1470856,243470856,NA,16000000,25-Jul-08,Not Rated,109,Link Productions Ltd.,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,7,7129
147,Beyond the Valley of the Dolls,9000000,9000000,NA,1000000,1-Jan-70,NA,NA,20th Century Fox,Original Screenplay,Comedy,NA,NA,68,5.7,4626
148,Broken Vessels,15030,85343,NA,600000,2-Jul-99,R,NA,NA,Original Screenplay,Drama,NA,NA,NA,6.4,399
149,The Boys from Brazil,19000000,19000000,NA,12000000,1978,NA,NA,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,NA,Franklin J. Schaffner,65,7,8741
150,The Business of Fancy Dancing,174682,174682,NA,200000,10-May-02,Not Rated,NA,Outrider Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7,355
151,Caddyshack,39846344,39846344,NA,6000000,25-Jul-80,NA,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,75,7.3,35436
152,Cape Fear,79091969,182291969,NA,35000000,15-Nov-91,R,NA,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Martin Scorsese,76,7.3,47196
153,Clear and Present Danger,122012656,207500000,NA,62000000,3-Aug-94,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,78,6.8,29612
154,Carrie,25878153,25878153,NA,1800000,16-Nov-76,NA,NA,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Brian De Palma,90,7.4,38767
155,Casino Royale,22744718,41744718,NA,12000000,28-Apr-67,NA,NA,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,John Huston,30,8,172936
156,Camping Sauvage,3479302,3479302,NA,4600000,16-Jul-04,Not Rated,NA,Alliance,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,6,378
157,The Cotton Club,25928721,25928721,NA,48000000,14-Dec-84,NA,NA,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Francis Ford Coppola,74,6.3,6940
158,Close Encounters of the Third Kind,166000000,337700000,NA,20000000,16-Nov-77,NA,NA,Sony Pictures,Original Screenplay,Adventure,Science Fiction,Steven Spielberg,95,7.8,59049
159,The Cable Guy,60240295,102825796,NA,47000000,14-Jun-96,PG-13,95,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,52,5.8,51109
160,Chocolate: Deep Dark Secrets,49000,1549000,NA,1000000,16-Sep-05,Not Rated,NA,Eros Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,4.6,527
161,Child's Play,33244684,44196684,NA,9000000,9-Nov-88,NA,NA,United Artists,Original Screenplay,Horror,Fantasy,NA,70,6.3,16165
162,Child's Play 2,26904572,34166572,NA,13000000,9-Nov-90,NA,NA,Universal,Original Screenplay,Horror,Fantasy,NA,38,5.1,8666
163,Chain Reaction,21226204,60209334,NA,55000000,2-Aug-96,PG-13,106,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,13,5.2,15817
164,Charly,814666,814666,NA,950000,27-Sep-02,PG,NA,Excel Entertainment,Based on Book/Short Story,Drama,Contemporary Fiction,NA,NA,5.8,60
165,Chariots of Fire,57159946,57159946,NA,5500000,25-Sep-81,NA,NA,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Hugh Hudson,86,7.3,16138
166,A Christmas Story,19294144,19294144,NA,3250000,18-Nov-83,PG,NA,MGM,Based on Book/Short Story,Comedy,Historical Fiction,NA,88,8,51757
167,Cat on a Hot Tin Roof,17570324,17570324,NA,3000000,20-Sep-58,NA,NA,MGM,Based on Play,Drama,Contemporary Fiction,Richard Brooks,100,8,14540
168,C.H.U.D.,4700000,4700000,NA,1250000,31-Aug-84,NA,NA,New World,Original Screenplay,Horror,Fantasy,NA,NA,5,2806
169,Crooklyn,13024170,13024170,NA,14000000,13-May-94,PG-13,NA,Universal,Original Screenplay,Comedy,Historical Fiction,Spike Lee,75,6.5,3137
170,Festen,1647780,1647780,NA,1300000,9-Oct-98,R,NA,October Films,Original Screenplay,Comedy,Contemporary Fiction,Thomas Vinterberg,NA,8.1,26607
171,Cleopatra,48000000,62000000,NA,36000000,12-Jun-63,NA,NA,20th Century Fox,Based on Real Life Events,Drama,Dramatization,NA,40,6.8,7870
172,Cliffhanger,84049211,255000000,NA,65000000,28-May-93,NA,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,82,6.2,34447
